#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   1   8   9.7e-62   3.4e-58  197.4   0.0     1   112    89   200    89   250 0.84 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   2   8    7e-131  2.4e-127  426.0   4.3   104   360   329   606   304   611 0.87 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   3   8   6.1e-33   2.1e-29  102.1  17.1   331   424   611   741   606   761 0.82 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   4   8     3e-43     1e-39  136.2  17.7   419   581   764   938   748   943 0.78 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   5   8   1.6e-11   5.6e-08   31.3   0.1   517   552   966  1005   948  1048 0.89 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   6   8   5.7e-72     2e-68  231.2  56.7   550   728  1116  1355  1058  1358 0.82 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   7   8   4.9e-16   1.7e-12   46.2   0.1   731   784  1444  1496  1435  1502 0.80 -
DkoeA00011996-RA     -           1590 3831at7147           -            790         0 1186.6 134.3   8   8   7.8e-13   2.7e-09   35.6   0.1   761   790  1552  1582  1542  1582 0.91 -
DkoeA00016164-RA     -            974 3831at7147           -            790   2.1e-16   59.2   0.6   1   1   7.3e-19   2.6e-15   55.6   0.6    23   213    99   316    90   332 0.70 -
DkoeA00008852-RA     -            638 3831at7147           -            790     1e-10   40.4   2.6   1   2   0.00067       2.4    6.1   0.1    36    97    87   147    57   162 0.77 -
DkoeA00008852-RA     -            638 3831at7147           -            790     1e-10   40.4   2.6   2   2   2.4e-12   8.3e-09   34.0   0.4   156   217   238   305   214   348 0.76 -
DkoeA00017466-RA     -           1003 3831at7147           -            790   7.3e-10   37.5   0.0   1   2   2.1e-13   7.3e-10   37.5   0.0    37   183   133   301   126   307 0.74 -
DkoeA00017466-RA     -           1003 3831at7147           -            790   7.3e-10   37.5   0.0   2   2         5   1.8e+04  -13.4  10.8   340   377   827   866   764   872 0.64 -
DkoeA00005958-RA     -            628 3831at7147           -            790   1.8e-08   33.0   0.2   1   1     2e-09   6.9e-06   24.4   0.2    35   216   129   347   116   390 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/3831at7147.hmm
# Target file:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeA_proteins.fasta
# Option settings: /home/nmoreyra/Software/miniconda3/envs/busco4/bin/hmmsearch --domtblout /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/DkoeA_diptera/run_diptera_odb10/hmmer_output/initial_run_results/3831at7147.out --cpu 1 /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/busco_downloads/lineages/diptera_odb10/hmms/3831at7147.hmm /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10/../00_proteins/DkoeA_proteins.fasta 
# Current dir:     /home/nmoreyra/Documents/Genomics/03_orthologs_search/00_Phylogenomics_BUSCO-groups/busco4_odb10
# Date:            Mon Jan 25 13:57:51 2021
# [ok]
