#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Dbrb03082-RA         -           4747 51at7147             -           3997         0 8548.1  72.5   1   3         0         0 4214.8  47.3    16  2001   140  2396   132  2401 0.95 -
Dbrb03082-RA         -           4747 51at7147             -           3997         0 8548.1  72.5   2   3         0         0 1935.1   0.4  2000  2879  2438  3374  2428  3383 0.96 -
Dbrb03082-RA         -           4747 51at7147             -           3997         0 8548.1  72.5   3   3         0         0 2406.2  11.1  2816  3997  3387  4737  3376  4737 0.93 -
Dbrb06697-RA         -           4497 51at7147             -           3997         0 1299.9  12.7   1   1         0         0 1298.1  12.7  1040  3925  1348  4388  1331  4394 0.83 -
Dbrb15843-RA         -           4021 51at7147             -           3997         0 1214.2  27.5   1   2         0         0 1131.9  24.9  1067  3383   843  3277   815  3305 0.82 -
Dbrb15843-RA         -           4021 51at7147             -           3997         0 1214.2  27.5   2   2   3.9e-27   5.5e-24   82.2   0.0  3471  3760  3424  3716  3392  3888 0.74 -
Dbrb06511-RA         -           4681 51at7147             -           3997         0 1192.7  22.0   1   4      0.28     4e+02   -3.6   0.0   110   183   247   324   242   331 0.83 -
Dbrb06511-RA         -           4681 51at7147             -           3997         0 1192.7  22.0   2   4  1.1e-191  1.6e-188  628.3   4.5  1023  2000  1483  2461  1447  2471 0.88 -
Dbrb06511-RA         -           4681 51at7147             -           3997         0 1192.7  22.0   3   4  2.6e-138  3.7e-135  451.2   5.7  2097  3335  2593  3916  2580  3933 0.84 -
Dbrb06511-RA         -           4681 51at7147             -           3997         0 1192.7  22.0   4   4   3.8e-38   5.3e-35  118.8   0.0  3447  3926  4099  4571  4026  4577 0.83 -
Dbrb06354-RA         -           4872 51at7147             -           3997         0 1168.8  19.8   1   3  2.7e-101   3.8e-98  328.4   7.8  1038  1630  1574  2200  1562  2225 0.86 -
Dbrb06354-RA         -           4872 51at7147             -           3997         0 1168.8  19.8   2   3   2.8e-88   3.9e-85  285.2   0.0  1632  1986  2245  2579  2235  2628 0.94 -
